stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\17898981\projetos\Patronicos\build\allegro5.cfg r
display  D   display_settings.c:529  _al_score_display_settings       [   0.62118] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.62125] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.62133] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.62140] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.62147] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.62154] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.62161] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.62168] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.62175] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.62182] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.62190] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.62197] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.62216] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.62224] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.62232] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.62240] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.62249] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.62254] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.62261] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.62268] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.62278] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.62287] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.62296] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.62303] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.62312] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.62320] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.62328] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.62336] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.62344] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.62351] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.62358] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.62365] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.62372] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.62383] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.62394] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.62402] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.62411] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.62418] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.62444] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.62450] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.62457] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.62465] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.62480] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.62492] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.62501] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.62507] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.62513] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.62522] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.62531] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.62541] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.62565] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.62572] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.62586] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.62596] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.62606] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.62616] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.62626] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.62643] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.62658] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.62666] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.62675] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.62682] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.62690] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.62701] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.62709] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.62716] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.62722] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.62729] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.62738] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.62745] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.62760] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.62770] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.62780] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.62787] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.62799] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.62809] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.62821] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.62833] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.62848] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.62856] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
